Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2012-03,Cumbria Constabulary,Cumbria Constabulary,304232,535563,On or near Festival Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,304154,535498,On or near Crummock Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302405,514769,On or near Ennerdale Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302105,515047,On or near Quarry Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337555,554333,On or near Whitfell Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301185,508904,On or near The Knoll,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,347692,557120,On or near Millriggs,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322931,474049,On or near Market Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340350,555479,On or near Collier Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320259,469194,On or near Greengate Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320291,469008,On or near Ramsden Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320301,469143,On or near Rawlinson Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321179,471847,On or near Hospital,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321470,469891,On or near Headmeadow,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319744,468985,On or near Nightclub,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325959,547916,On or near Lowmoor Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323127,473061,On or near Adgarley Way,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342319,555545,On or near Broadoaks Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318484,467853,On or near Oak Head Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,304155,535685,On or near Pitcairn Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,307014,503363,On or near Meadowfield,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,326074,547519,On or near Highmoor,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323005,473378,On or near Ennerdale Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322935,474385,On or near Fair View,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322532,474069,On or near Skelgate,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321786,469704,On or near Flass Meadows,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319744,468985,On or near Nightclub,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321218,468874,On or near Salthouse Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319825,469292,On or near William Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320642,469300,On or near Mardale Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320242,469395,On or near Arnside Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319973,468174,On or near Dunvegan Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319963,469121,On or near Paxton Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319963,469121,On or near Paxton Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321664,469630,On or near Gleaston Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340953,555096,On or near David Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303634,517365,On or near Rydal Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299928,519134,On or near High Moor Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300249,528840,On or near Finkle Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301604,506694,On or near Beck Rise,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301497,515356,On or near Leconfield Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301973,515162,On or near Cross North Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319581,471915,On or near Hazel Gill,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303128,536280,On or near Ismay Wharf,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,346679,550283,On or near William Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342493,554048,On or near Hillary Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342207,553579,On or near Blundell Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351651,530241,On or near Market Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321179,471847,On or near Hospital,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,377502,508626,On or near Market Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297376,518376,On or near Williamson Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297432,518471,On or near Bransty Row,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297558,517905,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318263,467932,On or near Ocean Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318321,469124,On or near Melampus Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319150,468645,On or near Ferry Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302589,514816,On or near Lansbury Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339096,555456,On or near Dowbeck Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297776,516116,On or near Coalgrove Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338999,557572,On or near Dixon Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298059,515657,On or near Wasdale Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298394,521614,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320632,469023,On or near Marsden Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320975,468904,On or near Salthouse Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322867,469748,On or near Kempas Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337272,555309,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298707,516513,On or near Lincoln Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338537,554740,On or near Langrigg Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338114,554664,On or near Lowther Browns Lonning,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320875,468749,On or near Vulcan Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337650,503119,On or near Petrol Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341022,478264,On or near Nutwood Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341018,557121,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340807,553553,On or near Scalegate Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340528,553481,On or near Park/Open Space,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340540,554612,On or near Goodwin Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340350,555479,On or near Collier Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341989,554314,On or near Mayfield Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340251,555575,On or near Court Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342073,555786,On or near St Josephs Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340251,555575,On or near Court Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340284,554105,On or near Blackwell Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340174,555736,On or near Victoria Viaduct,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340080,556086,On or near Shopping Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339898,557839,On or near Scotland Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339588,557503,On or near Eden Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338900,559749,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340251,555575,On or near Court Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351617,492733,On or near Shopping Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,377517,508731,On or near Market Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,368345,520366,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,360994,537322,On or near A686,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352395,493402,On or near Broad Ing,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352292,493473,On or near Copperfield Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351995,491181,On or near Burland Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351685,492656,On or near Bridge Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351685,492656,On or near Bridge Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351654,490086,On or near Natland Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341797,554626,On or near Brunel Way,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351633,530044,On or near Rowcliffe Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338614,516926,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351616,492942,On or near Bus/Coach Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351365,530111,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350860,494039,On or near Low Garth,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350537,552193,On or near Kirkcroft,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298576,515400,On or near Gable Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300053,528800,On or near James Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297750,519250,On or near Beatty Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297411,518338,On or near Hicks Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297378,517813,On or near Catherine Mews,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297180,518048,On or near Market Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302035,514527,On or near Meadley Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302018,515082,On or near Back Ennerdale Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,311864,530611,On or near Sullart Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,311830,530086,On or near Parkside Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299842,527007,On or near Needham Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299747,525000,On or near Broad Acres,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298900,527409,On or near Park/Open Space,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298394,521614,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297411,518338,On or near Hicks Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301216,508742,On or near St John'S Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337530,555510,On or near Parham Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,314677,542067,On or near North Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319715,470853,On or near Maple Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320169,469080,On or near Mount Pleasant,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320212,469289,On or near Lord Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320530,470268,On or near Westbourne Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320802,468950,On or near New Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320486,468883,On or near Penarth Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320148,468784,On or near Shore Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303326,536594,On or near South Quay,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319872,469710,On or near Dryden Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337376,555336,On or near Ravenstone Way,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319581,471915,On or near Hazel Gill,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319553,469212,On or near Lawson Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319404,469241,On or near Petrol Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319249,468488,On or near Newry Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319181,469958,On or near Walney Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319147,468746,On or near Stewart Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318400,467977,On or near Cote Ley Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318380,468404,On or near Euryalus Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317621,469513,On or near Rother Green,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,314884,538948,On or near Park/Open Space,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,315250,541807,On or near Fell View Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,311700,540737,On or near Greenbank Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320038,468996,On or near Spring Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341508,555484,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340251,555575,On or near Court Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340174,555736,On or near Victoria Viaduct,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340174,555736,On or near Victoria Viaduct,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340080,556086,On or near Shopping Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342821,558317,On or near Chestnut Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342235,553510,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328761,478459,On or near Wellhead,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341518,554104,On or near Carliol Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,336674,559285,On or near Apple Garth,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340882,553175,On or near Tarnside,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340498,554437,On or near Toronto Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340216,555756,On or near Devonshire Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340174,555736,On or near Victoria Viaduct,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340122,555663,On or near Bush Brow,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339367,555597,On or near John Roberts Gardens,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338546,554350,On or near Levens Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338129,554740,On or near Brownrigg Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338157,554392,On or near Whinrigg,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337926,504753,On or near Kirkstone Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337917,554219,On or near Lyndhurst Gardens,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301518,530911,On or near Orchard Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341923,555362,On or near Ennerdale Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,304102,529373,On or near Dalzell Gardens,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,316713,480300,On or near Robinson Row,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320358,471056,On or near Thornfield Park,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320084,469826,On or near Pedestrian Subway,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320023,470302,On or near Lancaster Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320038,468996,On or near Spring Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319963,469121,On or near Paxton Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319723,471997,On or near Low Cliff,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318550,468916,On or near Knox Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317126,469920,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299134,528388,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317126,469920,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320586,468902,On or near Barton Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,312673,530007,On or near Rose Garth,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,310450,488331,On or near Church Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,308146,543097,On or near The Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339903,554478,On or near Maryport Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339772,475929,On or near Priory Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,377341,508898,On or near Police Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338976,555981,On or near Canal Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340532,555749,On or near Portland Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338273,555632,On or near Ivory Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320602,469135,On or near The Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320485,469062,On or near Glasgow Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320212,469289,On or near Lord Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340350,555479,On or near Collier Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320109,470900,On or near Woodland Park,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323501,466052,On or near St Michaels Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319969,468895,On or near Fisher Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319831,469541,On or near High Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319720,472853,On or near Park Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318095,470174,On or near Combe View,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317664,469289,On or near Eamont Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317207,480432,On or near Finch Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320151,470561,On or near Princess Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337917,554219,On or near Lyndhurst Gardens,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339983,555433,On or near Nelson Bridge,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339442,555953,On or near John Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339450,554427,On or near Holme Head Way,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339270,554742,On or near Ferguson Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323246,482156,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338352,555401,On or near Dalton Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323501,466052,On or near St Michaels Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,336531,475779,On or near Eccleston Meadow,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328912,476972,On or near Oakwood Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,327379,477419,On or near Ulverston Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,326410,523573,On or near Main Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325514,548114,On or near George Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,311105,553560,On or near Wampool Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338614,516926,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298535,516924,On or near Ribton Moor Side,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299588,528916,On or near Falcon Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299530,528525,On or near Beeby Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299163,526622,On or near Walker Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299136,525641,On or near Eller Bank,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299103,525835,On or near Roper Terrace,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,336895,555909,On or near Birchdale Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,336709,476034,On or near Fairfield Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,329412,478693,On or near Petrol Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325385,560445,On or near Water Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325569,468883,On or near Long Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,324929,549043,On or near Highfield Gardens,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299985,513272,On or near Petrol Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300425,510176,On or near Ashley Way,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,346191,564459,On or near A6071,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,345684,478801,On or near Pier Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350904,492425,On or near Greenside,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351939,493054,On or near Wildman Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351937,492632,On or near Canal Head North,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,357366,488776,On or near M6,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352194,491125,On or near Heron Hill,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300319,523099,On or near Barnghyll Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299928,519134,On or near High Moor Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299818,528719,On or near New South Watt Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299710,527681,On or near Cusack Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298261,517094,On or near Willow Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301004,524398,On or near A597,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297543,515775,On or near Gameriggs Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,314677,542067,On or near North Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297244,517866,On or near Howgill Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,296208,511751,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321420,477639,On or near Lord Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297558,517905,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,304102,529373,On or near Dalzell Gardens,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,306848,515812,On or near Ehen Garth,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319624,468106,On or near Sloop Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,314271,541781,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317438,480124,On or near Crown Street,Anti-social behaviour,
