Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2012-03,Cumbria Constabulary,Cumbria Constabulary,336798,548191,On or near B5299,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351617,492733,On or near Shopping Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352545,479133,On or near Hillside,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,377469,506776,On or near Petrol Station,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320202,468890,On or near Brown Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325680,547730,On or near Mount Pleasant Gardens,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351484,492124,On or near Cross Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351772,493581,On or near Mintsfeet Road South,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,383534,515007,On or near Pedestrian Subway,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300555,528630,On or near Wilson Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350979,477133,On or near Parking Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,316943,525758,On or near B5292,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340227,496935,On or near Robinson Place,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340772,555511,On or near Barrock Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,349685,483346,On or near Holly Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,330202,497665,On or near Supermarket,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,326053,523943,On or near Petrol Station,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319963,469121,On or near Paxton Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339027,557497,On or near St Ann'S Crescent,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299940,527598,On or near Elterwater Avenue,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319875,471848,On or near Netherby Drive,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,361436,478269,On or near Bridge Brow,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341923,555362,On or near Ennerdale Avenue,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319861,471775,On or near Harewood Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319877,469386,On or near Scott Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340464,552214,On or near Durdar Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319877,469386,On or near Scott Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302489,514971,On or near Aldby Place,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302418,516862,On or near Rheda Park,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352329,529742,On or near Prince Charles Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300907,515625,On or near Ruskin Place,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300892,511168,On or near Green Moor Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,327379,477419,On or near Ulverston Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299958,528260,On or near Albert Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319817,472244,On or near Pascway Terrace,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322533,473808,On or near Underwood Terrace,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322528,474009,On or near Skeldene Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,344708,494722,On or near Back Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299952,528876,On or near Fisher Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341130,556254,On or near Sports/Recreation Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350970,490806,On or near Kentwood Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338645,569189,On or near Lovers Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319514,471704,On or near Low White Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,346412,541284,On or near M6,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302557,514866,On or near Robert Owen Place,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323098,482491,On or near Combe Crescent,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342036,553526,On or near Harris Crescent,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341907,553625,On or near Lightfoot Drive,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,326717,523065,On or near Borrowdale Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300007,531152,On or near Shore Side,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299325,528291,On or near Lowther Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299351,527262,On or near Cranbourne Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320151,470561,On or near Princess Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,343000,554609,On or near Eldon Drive,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340693,554011,On or near Newlands Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321522,470057,On or near St Mary'S Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321491,470463,On or near Supermarket,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320746,470285,On or near Mayfair Avenue,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318576,469016,On or near Warren Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,310919,553473,On or near Station Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299780,528244,On or near Cumberland Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299008,526742,On or near Park/Open Space,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,346916,550082,On or near Sports/Recreation Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339922,476760,On or near Berry Bank Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318865,469744,On or near Bessamer Way,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299681,528883,On or near Dean Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340632,554149,On or near Scalegate Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301254,515726,On or near Weddicar Gardens,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,311258,491393,On or near Church Brow,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319576,468054,On or near Siemen'S Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,324979,550778,On or near Kingsgarth,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325618,547828,On or near Petrol Station,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,343962,555802,On or near Holme Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300555,528630,On or near Wilson Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325526,548453,On or near Supermarket,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338047,568295,On or near Arthuret Drive,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340115,554015,On or near Jubilee Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340580,555273,On or near Princess Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351012,531127,On or near Raiselands Croft,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,366624,523370,On or near Castrigg Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299842,527007,On or near Needham Drive,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320870,468814,On or near Brathay Crescent,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328840,478517,On or near Tarn Side,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,331763,556458,On or near Chapel Field,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341907,553625,On or near Lightfoot Drive,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299977,528208,On or near Bird Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,336773,554625,On or near Orton Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352520,492364,On or near Castle Riggs,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298394,521614,On or near Sports/Recreation Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299727,528800,On or near York Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350573,546074,On or near Front Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,361096,478662,On or near Chapel Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299292,527795,On or near Buddle Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,361175,478631,On or near Market Square,Burglary,
